,h
2017-08-05,20.63321605612688
2017-08-06,20.628584350705307
2017-08-07,20.62413716227938
2017-08-08,20.621518634296674
2017-08-09,20.62003842474366
2017-08-10,20.621165484622185
2017-08-11,20.61936446325732
2017-08-12,20.615652029078227
2017-08-13,20.61150280072106
2017-08-14,20.60734960860818
2017-08-15,20.60326762441481
2017-08-16,20.600401108915324
2017-08-17,20.597310315938895
2017-08-18,20.593982812835343
2017-08-19,20.590806564710768
2017-08-20,20.587613858294137
2017-08-21,20.58444771776199
2017-08-22,20.58134955305999
2017-08-23,20.57835345690695
2017-08-24,20.575474003157233
2017-08-25,20.572704540904336
2017-08-26,20.57003648755283
2017-08-27,20.567462153196725
2017-08-28,20.567860756529203
2017-08-29,20.566547757701112
2017-08-30,20.577018688995892
2017-08-31,20.58138927274459
2017-09-01,20.58024318331193
2017-09-02,20.582787052501057
2017-09-03,20.582273210191463
2017-09-04,20.582461393991682
2017-09-05,20.582031773328527
2017-09-06,20.580961244133427
2017-09-07,20.57852195769631
2017-09-08,20.575298006652968
2017-09-09,20.64419043989573
2017-09-10,20.676199256311534
2017-09-11,20.69033631989234
2017-09-12,20.69532855426342
2017-09-13,20.6958722405196
2017-09-14,20.706607577202362
